Author(s),Year,r,n,Other Info
Nauta,2007,0.09,113,
Reed,1999,0.015,186,
Zikic,2005,0.03,304,
Guan et al.,2017,0.08,222,
Hirschi,2009,-0.096,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
