Author(s),Year,r,n,Other Info
"Reed, Bruch, & Haase",2004,0.08,204,
Nauta,2007,-0.09,113,
Greenhaus & Sklarew,1981,-0.05,161,
Reed,1999,0.112,186,
Zikic,2005,0.16,304,
Guan et al.,2017,-0.12,222,
"Hirschi, Niles, & Akos",2011,0.102,349,
Hirschi ,2009,0.019,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
