Author(s),Year,r,n,Other Info
"Reed, Bruch, & Haase",2004,0.23,204,
Nauta,2007,0.17,113,
Reed,1999,0.174,186,
Zikic,2005,0.12,304,
Guan et al.,2017,0.37,222,
Hirschi,2009,0.192,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
