Author(s),Year,r,n,Other Info
Nauta,2007,0.14,113,
Reed,1999,-0.207,186,
Zikic,2005,0.18,304,
Guan et al.,2017,0.32,222,
Hirschi,2009,0.082,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
