Author(s),Year,r,n,Other Info
"Reed, Bruch, & Haase",2004,0.11,204,
Nauta,2007,0.21,113,
Reed,1999,0.078,186,
Zikic,2005,0.14,304,
Guan et al.,2017,0.25,222,
Hirschi,2009,0.098,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
