Author(s),Year,r,n,Other Info
Bartley & Robitschek,2000,-0.33,162,Men
Bartley & Robitschek,2000,-0.3,156,Women
Blustein & Phillips,1988,-0.26,148,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
