Author(s),Year,r,n,Other Info
Nauta,2007,-0.08,113,
Hardin et al.,2006,-0.04,85,Women
Hardin et al.,2006,0.07,76,Men
Reed,1999,-0.066,186,
Zikic,2005,-0.1,304,
Guan et al.,2017,-0.13,222,
"Hirschi,, Niles, & Akos",2011,0.084,349,
Hirschi ,2009,-0.107,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
