Author(s),Year,r,n,Other Info
Bartley & Robitschek,2000,0.33,162,Men
Bartley & Robitschek,2000,0.23,156,Women
Lent et al.,2017,0.39,324,
Cheung & Arnold,2014,0.405,249,Averaged T1 & 2
Xu & Tracey,2017,0.45,248,
"Owens, Motl, & Krieshok",2016,0.46,82,Averaged T1 & 2
Bubany,2011,0.35,228,Women
Bubany,2011,0.33,143,Men
Moreault,1992,0.141,304,
Paivandy,2008,0.37,150,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
