Author(s),Year,r,n,Other Info
Bartley & Robitschek,2000,0.1,162,Men
Bartley & Robitschek,2000,0.05,156,Women
Blustein & Phillips,1988,0.09,148,
"Stumpf, Colarelli, Hartman",1983,0.01,241,Grad Students
"Stumpf, Colarelli, Hartman",1983,0.14,185,Undergrads
"Gamboa, Paixao, & de Jesus",2013,0.115,346,Averaged T1 & 2
Bubany,2011,0.01,228,Women
Bubany,2011,-0.01,143,Men
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
