Author(s),Year,r,n,Other Info
Bartley & robitschek,2000,0.08,162,Men
Bartley & robitschek,2000,-0.07,156,Women
Blustein & Phillips,1988,0.04,148,
"Stumpf, Colarelli, Hartman",1983,-0.05,241,Grad Students
"Stumpf, Colarelli, Hartman",1983,0.01,185,Undergrads
"Gamboa, Paixao, & de Jesus",2013,-0.08,346,Averaged T1 & 2
Bubany,2011,-0.12,228,Women
Bubany,2011,-0.05,143,Men
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
