Author(s),Year,r,n,Other Info
Bartley & Robitschek,2000,-0.29,162,Men
Bartley & Robitschek,2000,-0.45,156,Women
Blustein & Phillips,1988,-0.27,148,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
