Author(s),Year,r,n,Other Info
"Reed, Bruch, & Haase",2004,-0.01,204,
Nauta,2007,0.05,113,
Reed,1999,-0.048,186,
Zikic,2005,0.16,304,
Guan et al.,2017,0.2,222,
Hirschi,2009,0.022,210,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
